time,current_q,ref_q_current,predicted_ca_cb_at_tau,true_ca_cb_at_tau,selected_tau,r2_scores
3.89999999961,[23.24658916077526],[23.24658916077526],"[177.66592400406046, 163.73001149809542]","[161.88573073056173, 178.11426926943824]",1,{'1': -4.39648068318462}
3.9333333329399998,[22.58815070497191],[22.58815070497191],"[176.36886284477862, 164.6063242313138]","[163.6505106008567, 176.34948939914327]",1,{'1': -4.829101108089285}
3.96666666627,[21.85234267700744],[21.85234267700744],"[176.21498029873356, 165.5555451611448]","[166.36106280750568, 173.63893719249432]",1,{'1': -5.243285304735457}
3.9999999996,[20.80171615848552],[20.80171615848552],"[181.5728189829687, 160.33969689140946]","[169.06556728263803, 170.93443271736197]",1,{'1': -5.603089821425673}
4.03333333293,[20.088514689960995],[20.088514689960995],"[178.76081905216355, 163.2719101562985]","[172.2247651526529, 167.77523484734706]",1,{'1': -5.82185998280012}
4.06666666626,[19.41706211154384],[19.41706211154384],"[186.07620054607818, 155.58339921635118]","[175.9187884441507, 164.0812115558493]",1,{'1': -5.925341477548923}
4.09999999959,[18.697804999211336],[18.697804999211336],"[176.66366481248602, 165.286222059887]","[179.60327635003796, 160.396723649962]",1,{'1': -5.880984655742729}
4.1333333329199995,[18.343236510845163],[18.343236510845163],"[174.98501517148458, 167.50173494895904]","[183.5847163187225, 156.41528368127746]",1,{'1': -5.6128587400288446}
4.16666666625,[18.11338487681464],[18.11338487681464],"[165.93857879067278, 175.58709476260537]","[187.4979261630256, 152.5020738369744]",1,{'1': -5.51602650552664}
4.19999999958,[17.989083625402063],[17.989083625402063],"[145.246087590953, 194.81641775561536]","[191.24698107448936, 148.75301892551062]",1,{'1': -5.438868627056058}
4.23333333291,[17.994332490682435],[17.994332490682435],"[175.06094870627078, 164.20221940898287]","[194.98587619143015, 145.0141238085698]",1,{'1': -5.227260733775105}
4.26666666624,[18.015006213733574],[18.015006213733574],"[166.8870283724797, 175.88166754696235]","[198.6695894638304, 141.33041053616958]",1,{'1': -4.894250600215524}
4.29999999957,[18.07064945514518],[18.07064945514518],"[173.86119971958846, 165.7055076488379]","[202.3310704988748, 137.66892950112518]",1,{'1': -4.508668319189793}
4.3333333329,[18.14208881082439],[18.14208881082439],"[170.64737965265562, 175.41753886198737]","[205.83564652389603, 134.16435347610394]",1,{'1': -4.236705359097096}
4.3666666662299995,[18.306625645229744],[18.306625645229744],"[178.40343641765975, 161.7742283933729]","[208.49987063669457, 131.50012936330543]",1,{'1': -3.91429265940421}
4.39999999956,[18.9918907690857],[18.9918907690857],"[169.96369775858983, 175.3078066430744]","[210.2732687896224, 129.72673121037764]",1,{'1': -3.5854314317530003}
4.43333333289,[20.14124063590468],[20.14124063590468],"[191.49014230025213, 150.1361233932133]","[210.4648689943731, 129.5351310056269]",1,{'1': -3.291350103872004}
4.46666666622,[22.013409794294155],[22.013409794294155],"[195.80625209035856, 144.0779726480793]","[207.84936414113588, 132.15063585886412]",1,{'1': -3.058916392039147}
4.49999999955,[25.48901317017992],[25.48901317017992],"[203.6662405989535, 132.68908343266023]","[205.37214553981715, 134.62785446018287]",1,{'1': -2.7925107924836547}
4.53333333288,[28.571231378856236],[28.571231378856236],"[153.84038626622606, 187.82131974259823]","[201.87470452443068, 138.1252954755693]",1,{'1': -2.731966039555481}
4.56666666621,[32.01538631707656],[32.01538631707656],"[165.9703018254272, 176.5176168319562]","[195.7110702268749, 144.28892977312506]",1,{'1': -2.678610716276007}
4.59999999954,[36.97497683652997],[36.97497683652997],"[202.36281037016315, 130.54128629181346]","[190.6287954684171, 149.37120453158286]",1,{'1': -2.6302405339438213}
4.6333333328699995,[40.84862736284362],[40.84862736284362],"[182.48986456547374, 156.17745462337095]","[183.0895631084117, 156.9104368915883]",1,{'1': -2.5886871106039897}
4.6666666662,[46.15239698246271],[46.15239698246271],"[178.09705835383156, 158.43513885427748]","[178.12801106124198, 161.87198893875802]",1,{'1': -2.565218466959761}
4.69999999953,[49.98877983906852],[49.98877983906852],"[133.245759832236, 204.0520834765411]","[174.08609811441588, 165.9139018855841]",1,{'1': -2.6322292658560222}
4.73333333286,[53.603945131424446],[53.603945131424446],"[180.98056025886478, 159.91579807389837]","[169.693479612736, 170.306520387264]",1,{'1': -2.650802318804335}
4.76666666619,[57.909229043428944],[57.909229043428944],"[149.94780986902134, 184.14322468863767]","[168.2335546212207, 171.7664453787793]",1,{'1': -2.682701999050344}
4.79999999952,[60.590683453711335],[60.590683453711335],"[118.15808957255904, 219.12536675900986]","[168.20676799487754, 171.79323200512246]",1,{'1': -2.63539892599785}
4.83333333285,[62.70191893174989],[62.70191893174989],"[96.22995811998182, 240.72726796713684]","[169.1408160065854, 170.8591839934146]",1,{'1': -2.3682405121493733}
4.8666666661799995,[64.54147652250042],[64.54147652250042],"[117.18955256528182, 225.83581691783655]","[171.4822874852144, 168.51771251478556]",1,{'1': -2.4299230055492718}
4.89999999951,[65.40374213960222],[65.40374213960222],"[179.05199365382967, 152.89181677693173]","[174.65637490965966, 165.3436250903403]",1,{'1': -2.476804309795829}
4.93333333284,[65.72201334409242],[65.72201334409242],"[158.1641156417906, 171.96083134638747]","[178.35501573989018, 161.64498426010982]",1,{'1': -2.221219721382224}
4.96666666617,[65.61672555558953],[65.61672555558953],"[140.20342196845164, 200.8201224218573]","[181.8839052108429, 158.1160947891571]",1,{'1': -2.1827386644871845}
4.9999999995,[65.58155618828268],[65.58155618828268],"[168.297944152232, 167.06603580737828]","[185.400069965415, 154.59993003458496]",1,{'1': -2.2182080170927425}
5.03333333283,[65.57477985509077],[65.57477985509077],"[129.8211637644108, 210.09715381375236]","[188.9430911010258, 151.0569088989742]",1,{'1': -2.3214062228400687}
5.06666666616,[65.49977423301813],[65.49977423301813],"[141.85632440444263, 198.72673916695183]","[191.81825058498785, 148.18174941501218]",1,{'1': -2.2099505339155763}
5.09999999949,[65.51634080765811],[65.51634080765811],"[132.21196478918975, 212.76474536640853]","[194.1491139110756, 145.8508860889244]",1,{'1': -2.2532213523211007}
5.1333333328199995,[65.52287335257815],[65.52287335257815],"[123.12122595078075, 221.1385187879437]","[195.93529424477984, 144.06470575522016]",1,{'1': -2.277358099193181}
5.16666666615,[65.48901654848824],[65.48901654848824],"[175.40284400639675, 157.38101885859663]","[197.01270520506336, 142.98729479493662]",1,{'1': -2.1684346820708735}
5.19999999948,[65.53448817689583],[65.53448817689583],"[175.61551763851213, 170.03227022003705]","[197.39856448166464, 142.60143551833536]",1,{'1': -2.105014323823704}
5.23333333281,[65.64579037675026],[65.64579037675026],"[200.94285584491746, 131.27766021560197]","[196.1729777685693, 143.8270222314307]",1,{'1': -1.9469129229401276}
5.26666666614,[66.40547940041763],[66.40547940041763],"[153.61061084733666, 176.13156910703]","[193.85951773044337, 146.1404822695566]",1,{'1': -1.8383657089396528}
5.29999999947,[67.81100887842709],[67.81100887842709],"[91.84225928643086, 245.70494444743218]","[190.8877137448435, 149.1122862551565]",1,{'1': -2.0788952878633014}
5.3333333328,[69.64374415116882],[69.64374415116882],"[100.13565458474677, 239.2020485326069]","[186.56012870586588, 153.43987129413412]",1,{'1': -2.2759908576749313}
5.3666666661299995,[72.3471397458213],[72.3471397458213],"[112.27364424645752, 229.37120797329985]","[183.04683420528397, 156.95316579471606]",1,{'1': -2.417994338808318}
5.39999999946,[74.42458165592713],[74.42458165592713],"[119.2930106015762, 224.34191609570254]","[178.3983988895581, 161.60160111044186]",1,{'1': -2.51060461684895}
5.43333333279,[77.19876005059693],[77.19876005059693],"[118.54155163541772, 227.36147232107393]","[174.86187556020997, 165.13812443979]",1,{'1': -2.6038352116583923}
5.46666666612,[79.14588261563567],[79.14588261563567],"[119.42803091088768, 222.86432546307856]","[171.69409896729366, 168.30590103270632]",1,{'1': -2.6587015728687096}
5.49999999945,[80.77177838197906],[80.77177838197906],"[130.73208930811285, 210.97785365460504]","[168.23504569344328, 171.76495430655672]",1,{'1': -2.721957628328599}
5.53333333278,[82.50701167373538],[82.50701167373538],"[166.1391745509429, 172.43470909543743]","[165.83663963276794, 174.16336036723203]",1,{'1': -2.745945793459364}
5.56666666611,[83.4303865342268],[83.4303865342268],"[157.35651606244915, 185.78235626651806]","[163.8726966465516, 176.1273033534484]",1,{'1': -2.7812254567379693}
5.59999999944,[83.95732621853647],[83.95732621853647],"[181.6138183283547, 153.41128243831352]","[161.91744214385093, 178.08255785614907]",1,{'1': -2.8276216358958717}
5.6333333327699995,[84.36047983407452],[84.36047983407452],"[158.1709054758374, 180.35132754838622]","[160.22349061382482, 179.77650938617518]",1,{'1': -2.8800232578704086}
5.6666666661,[84.49755843346617],[84.49755843346617],"[169.58342742350726, 167.9336408565767]","[158.61363541464394, 181.3863645853561]",1,{'1': -2.877581973237979}
